timestamp,active,online,offline
2026-04-27 10:28:02,213,19,194
2026-04-27 10:29:01,213,19,194
2026-04-27 10:30:01,214,20,194
2026-04-27 10:31:02,214,20,194
2026-04-27 10:32:01,214,20,194
2026-04-27 10:33:01,214,20,194
2026-04-27 10:34:02,214,20,194
2026-04-27 10:35:01,214,20,194
2026-04-27 10:36:01,214,19,195
2026-04-27 10:37:01,214,19,195
2026-04-27 10:38:01,214,20,194
2026-04-27 10:39:01,214,21,193
2026-04-27 10:40:01,214,21,193
2026-04-27 10:41:01,214,21,193
2026-04-27 10:42:02,214,21,193
2026-04-27 10:43:01,214,21,193
2026-04-27 10:44:01,214,21,193
2026-04-27 10:45:02,214,21,193
2026-04-27 10:46:01,214,21,193
2026-04-27 10:47:01,214,21,193
2026-04-27 10:48:02,214,21,193
2026-04-27 10:49:01,214,21,193
2026-04-27 10:50:02,214,21,193
2026-04-27 10:51:01,214,21,193
2026-04-27 10:52:01,214,21,193
2026-04-27 10:53:02,214,21,193
2026-04-27 10:54:01,214,21,193
2026-04-27 10:55:02,214,22,192
2026-04-27 10:56:01,214,21,193
2026-04-27 10:57:01,214,21,193
2026-04-27 10:58:02,214,21,193
2026-04-27 10:59:01,214,21,193
2026-04-27 11:00:01,214,21,193
2026-04-27 11:01:02,214,21,193
2026-04-27 11:02:01,214,20,194
2026-04-27 11:03:01,214,20,194
2026-04-27 11:04:01,214,20,194
2026-04-27 11:05:01,214,20,194
2026-04-27 11:06:02,214,20,194
2026-04-27 11:07:01,214,20,194
2026-04-27 11:08:01,214,20,194
2026-04-27 11:09:02,214,20,194
2026-04-27 11:10:01,214,20,194
2026-04-27 11:11:02,214,20,194
2026-04-27 11:12:01,214,20,194
2026-04-27 11:13:01,214,20,194
2026-04-27 11:14:02,214,21,193
2026-04-27 11:15:01,214,21,193
2026-04-27 11:16:01,214,21,193
2026-04-27 11:17:02,214,21,193
2026-04-27 11:18:01,214,21,193
2026-04-27 11:19:02,214,21,193
2026-04-27 11:20:01,214,21,193
2026-04-27 11:21:01,214,21,193
2026-04-27 11:22:02,214,21,193
2026-04-27 11:23:01,214,21,193
2026-04-27 11:24:01,214,21,193
2026-04-27 11:25:01,214,21,193
2026-04-27 11:26:01,214,21,193
2026-04-27 11:27:02,214,21,193
2026-04-27 11:28:01,214,21,193
2026-04-27 11:29:01,214,21,193
2026-04-27 11:30:02,214,21,193
2026-04-27 11:31:01,214,21,193
2026-04-27 11:32:01,214,21,193
2026-04-27 11:33:02,214,21,193
2026-04-27 11:34:01,214,21,193
2026-04-27 11:35:02,214,21,193
2026-04-27 11:36:01,214,20,194
2026-04-27 11:37:01,214,20,194
2026-04-27 11:38:02,214,20,194
2026-04-27 11:39:01,214,20,194
2026-04-27 11:40:02,214,20,194
2026-04-27 11:41:01,214,20,194
2026-04-27 11:42:01,214,20,194
2026-04-27 11:43:02,214,20,194
2026-04-27 11:44:01,214,20,194
2026-04-27 11:45:01,214,20,194
2026-04-27 11:46:02,214,20,194
2026-04-27 11:47:01,214,20,194
2026-04-27 11:48:01,214,20,194
2026-04-27 11:49:01,214,20,194
2026-04-27 11:50:01,214,20,194
2026-04-27 11:51:02,214,20,194
2026-04-27 11:52:01,214,20,194
2026-04-27 11:53:01,214,20,194
2026-04-27 11:54:02,214,20,194
2026-04-27 11:55:01,214,20,194
2026-04-27 11:56:02,214,20,194
2026-04-27 11:57:01,214,20,194
2026-04-27 11:58:01,214,20,194
2026-04-27 11:59:02,214,20,194
2026-04-27 12:00:01,214,20,194
2026-04-27 12:01:01,214,20,194
2026-04-27 12:02:02,214,20,194
2026-04-27 12:03:01,214,20,194
2026-04-27 12:04:01,214,20,194
2026-04-27 12:05:02,214,20,194
2026-04-27 12:06:01,214,20,194
2026-04-27 12:07:02,214,20,194
2026-04-27 12:08:01,214,20,194
2026-04-27 12:09:01,214,20,194
2026-04-27 12:10:02,214,20,194
2026-04-27 12:11:01,214,20,194
2026-04-27 12:12:01,214,20,194
2026-04-27 12:13:01,214,20,194
2026-04-27 12:14:01,214,21,193
2026-04-27 12:15:02,214,21,193
2026-04-27 12:16:01,214,21,193
2026-04-27 12:17:01,214,21,193
2026-04-27 12:18:02,214,21,193
2026-04-27 12:19:01,214,21,193
2026-04-27 12:20:01,214,22,192
2026-04-27 12:21:02,214,22,192
2026-04-27 12:22:01,214,22,192
2026-04-27 12:23:02,214,22,192
2026-04-27 12:24:01,214,22,192
2026-04-27 12:25:01,214,22,192
2026-04-27 12:26:01,214,22,192
2026-04-27 12:27:01,214,22,192
2026-04-27 12:28:02,214,22,192
